Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 4,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,,2022,,,,,,,,,"0,55",,"1,40","6,44","5,59","10,08","5,19","11,33","30,25","49,54","3,48","21,29","75,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,,2021,,,,,,,,,"0,71",,"1,52","4,16","5,27","7,40","5,19","29,21","24,14","40,96","1,91","36,94","56,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,,2020,,,,,,,,,"0,43",,"1,40","3,57","2,54","5,88","5,19","32,15","26,83","42,27","2,15","41,16","45,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,,2019,,,,,,,,,"0,30",,"1,25","2,21","1,24","4,12","5,19","26,98","19,97","34,88","1,08","57,98","34,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Atlas-Copco-Logo.svg/1280px-Atlas-Copco-Logo.svg.png,2026,Industrie,,"-6,18","172,80","92,14","96,86","0,88","31,88","0,78","1,74",,,"7,15","9,17","3,31","29,46","18,61","19,57","5,79",,"168,34",STO:ATCO-A,"16,64","6,40","4,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,,2025,,,,,,,,,"0,78",,"5,00","5,42","7,15","9,18","3,31","30,63","18,61","21,05","5,79","92,14","168,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,,2024,,,,,,,,,"0,76",,"3,00","6,10","7,12","9,37","3,31","27,68","22,32","21,45","6,69","49,09","176,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,,2023,,,,,,,,,"0,72",,"2,80","5,75","6,70","9,30","3,31","30,20","24,91","22,28","4,94","48,64","172,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,,2022,,,,,,,,,"1,00",,"2,30","4,81","7,45","7,44","3,31","25,57","24,42","21,66","3,62","47,69","141,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,,2021,,,,,,,,,"0,87",,"1,88","3,64","5,10","5,86","3,31","42,13","22,19","21,40","4,33","50,58","110,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,,2020,,,,,,,,,"0,98",,"1,82","2,98","5,06","5,14","3,30","34,68","19,90","20,29","4,25","60,03","99,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,,2019,,,,,,,,,"0,87",,"1,75","3,33","4,86","5,58","3,31","27,49","25,33","21,65","2,98","51,46","103,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS COPCO,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,https://marine-oceans.com/wp-content/uploads/2022/09/gtt-new-logo.jpg,2026,Energie,,"-1,16","196,50","115,80","111,32","0,70",,"0,03","3,82","7,50","9,37","0,42","12,79","37,06","18,45","75,47","65,05","9,34",,"735,30",EPA:GTT,"18,07","12,48","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,,2025,,,,,,,,,#DIV/0!,,,,"0,39",,,,,,,,"641,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,,2024,,,,,,,,,"0,04",,"7,50","9,37","0,39","10,45","37,03","13,73","85,23","57,63","8,31","79,81","427,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,,2023,,,,,,,,,"0,04",,"4,36","5,43","0,22","6,21","36,95","22,09","66,50","51,35","4,81","79,98","307,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,,2022,,,,,,,,,"0,03",,"3,10","3,48","0,11","4,18","36,93","28,82","49,75","47,46","3,22","89,16","314,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,,2021,,,,,,,,,"0,03",,"3,10","3,62","0,12","4,48","36,89","22,74","53,44","50,34","5,30","85,38","396,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,,2020,,,,,,,,,"0,03",,"4,29","5,36","0,16","6,37","37,08","14,82","87,63","58,31","3,76","79,97","288,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,,2019,,,,,,,,,"0,01",,"3,25","3,87","0,06","4,57","37,08","22,16","74,31","57,63","3,21","84,03","245,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTT,,2018,,,,,,,,,"0,02",,"3,12","3,42","0,07","4,42","37,05","17,47","89,76","65,36","4,89","80,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDeTly8WOXa0bteahMGwDIw3zpUMEdxechqQ&s,2026,Technologie,,"16,04","20,26","18,00","21,70","0,13",,"1,34","1,28","0,26",,"1,95","1,46","1,32","20,09","11,11","31,29","1,11",,"6,24",EPA:DSY,"16,22","18,82","1,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,,2025,,,,,,,,,"1,34",,,"1,31","1,95","1,46",,"26,48","11,11","22,47","1,11",,"6,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,,2024,,,,,,,,,"1,58",,"0,26","1,28","2,30","1,46","1,31","37,22","10,91","22,12","1,10","28,45","6,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,,2023,,,,,,,,,"1,92",,"0,23","1,20","2,69","1,40","1,31","56,27","10,03","21,81","1,06","28,78","5,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,,2022,,,,,,,,,"1,85",,"0,21","1,13","2,68","1,45","1,31","47,92","9,21","23,28","1,05","29,59","5,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,,2021,,,,,,,,,"2,92",,"0,17","0,95","3,53","1,21","1,31","90,07","7,94","21,62","1,13","28,78","4,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,,2020,,,,,,,,,"3,62",,"0,11","0,75","3,66","1,01","1,31","89,40","4,86","16,30","0,84","29,71","4,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,,2019,,,,,,,,,"4,28",,"0,14","0,73","4,02","0,94","1,30","62,68","7,87","21,08","0,83","29,51","4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT SYSTHEME,,2018,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASSAULT AVIATION,https://upload.wikimedia.org/wikipedia/fr/d/d0/Logo_Dassault_Aviation_2020.svg,,Défense ,,"0,00","291,20","180,00","163,00","0,62","29,12","0,03","0,79",,,,,,,"12,56","0,08",,,,EPA:AM,"8,47","6,12","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCI,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4c/Logo_Vinci.svg/1280px-Logo_Vinci.svg.png,2026,Industrie,,"-2,32","123,35","86,50","60,55","0,43",,"2,95","4,05",,,"69,02","23,37","556,41","14,38","7,92","13,10","14,14",,"75,37",EPA:DG,"7,92","6,12","2,35",,,,,,,,,Column 15,Entreprise,Colonne 1,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Dividende %,Valeur %,Per,Dette/EBITDA,ROIC,Marge opé,,,,,,,
VINCI,,2025,,,,,,,,,"2,95",,"5,00","8,65","68,97","23,35","555,97","13,88","7,92","11,99","14,13","57,11","75,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCI,,2024,,,,,,,,,"2,98",,"4,75","8,43","65,03","21,83","562,42","11,83","8,34","11,86","13,29","55,69","72,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCI,,2023,,,,,,,,,"2,81",,"4,50","8,18","57,44","20,45","570,81","13,91","8,81","11,44","12,53","54,38","69,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCI,,2022,,,,,,,,,"3,22",,"4,00","7,47","56,27","17,48","563,60","12,50","8,47","10,21","10,32","53,00","62,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCI,,2021,,,,,,,,,"4,32",,"2,90","4,51","57,02","13,20","567,58","20,60","5,28","8,77","9,97","63,60","49,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCI,,2020,,,,,,,,,"5,63",,"2,04","2,20","57,72","10,26","562,06","26,89","2,56","5,93","8,02","91,58","43,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCI,,2019,,,,,,,,,"3,83",,"2,04","5,82","57,91","15,11","554,75","17,02","7,50","11,14","8,38","34,70","48,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCI,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSILORLUXOTTICA,https://upload.wikimedia.org/wikipedia/fr/thumb/4/45/Essilorluxottica_Logo.svg/960px-Essilorluxottica_Logo.svg.png,2026,Consommation de base,,"-3,95","172,80","128,25","138,30","0,35","34,70","2,23",,,,"30,72","13,76","463,19","42,31","4,70","9,45","8,66",,,EPA:EL,"7,38","2,55","16,56",,,,,,,,,,COVIVIO,https://upload.wikimedia.org/wikipedia/commons/e/ea/Covivio_LOGO.jpg,,Immobilier,,"-6,96","55,20","30,16","39,56","0,83","14,64","1,07","4,65",,,,,,,"2,37","0,51"
ESSILORLUXOTTICA,,2025,,,,,,,,,"2,20",,"4,00","4,98","30,99","14,08","463,19","54,18","4,70","12,11","8,74","79,31","63,90",,,,,,,,,,,,,,GECINA,https://storage.googleapis.com/endurance-apps-liip/media/cache/gecina_no_filter_grid_fs/5cac58d280564a4fcd3ceb5d,,Immobilier,,"1,61","72,75","61,74","64,20","0,18","10,60","11,00","7,72",,,,,,,"3,25","0,59"
ESSILORLUXOTTICA,,2024,,,,,,,,,"2,05",,"3,95","5,13","28,73","14,00","456,71","45,94","4,85","12,80","8,03","76,01","64,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSILORLUXOTTICA,,2023,,,,,,,,,"1,87",,"3,95","5,08","25,86","13,85","452,03","35,76","4,83","12,98","7,39","77,32","60,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSILORLUXOTTICA,,2022,,,,,,,,,"1,98",,"3,23","4,83","27,38","13,86","445,33","35,04","4,58","13,30","7,21","66,35","60,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSILORLUXOTTICA,,2021,,,,,,,,,"2,62",,"2,51","4,62","29,22","11,14","441,06","57,60","3,25","12,99","7,89","76,07","59,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSILORLUXOTTICA,,2020,,,,,,,,,"4,14",,"2,23","1,79","27,10","6,55","437,02","658,83","0,20","4,98","5,24",,"52,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSILORLUXOTTICA,,2019,,,,,,,,,"2,24",,"0,00","4,46","21,34","9,54","436,78","55,62","2,74","12,01","5,83","0,00","52,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSILORLUXOTTICA,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,https://upload.wikimedia.org/wikipedia/commons/6/6d/Pernod_Ricard_Logo.png,2026,Consommation discrétionnaire,,"18,59","61,80","129,00","82,65","-0,52","9,58","3,73","7,61","4,70","7,26","49,90","13,37","251,66","12,53","6,12","20,20","4,44",,"251,66",EPA:RI,"7,39","2,36","5,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,,2025,,,,,,,,,"3,73",,"4,70","7,26","49,95","13,38","251,66","13,11","6,12","26,93","4,45","72,70","251,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,,2024,,,,,,,,,"3,83",,"4,70","7,90","53,79","14,05","251,30","21,73","5,56","16,87","3,77","80,43","251,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,,2023,,,,,,,,,"3,15",,"4,70","9,11","46,21","14,66","254,27","22,99","8,75","27,59","5,18","53,20","254,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,,2022,,,,,,,,,"3,28",,"4,12","8,18","43,02","13,11","256,93","22,81","8,01","28,26","6,88","53,47","256,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,,2021,,,,,,,,,"3,44",,"3,12","6,16","36,69","10,67","260,87","37,51","5,52","27,46","5,99","62,35","260,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,,2020,,,,,,,,,"3,99",,"2,66","5,45","39,45","9,89","260,67","112,40","1,46","26,76","3,09","212,53","260,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,,2019,,,,,,,,,"2,69",,"3,12","6,23","28,46","10,58","263,83","29,56","6,55","28,11","4,95","56,65","263,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERNOD RICARD,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Logo_Groupe_FDJ.svg/1280px-Logo_Groupe_FDJ.svg.png,2026,Consommation discrétionnaire,,"28,91","22,86","47,34","31,69","-0,52","8,69",,"8,97","2,05",,,,"184,76",,"5,44","16,34",,,"3,68",EPA:FDJU,"9,72","14,50","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,,2025,,,,,,,#DIV/0!,,,,,"2,63",,,,,"5,44","15,38",,,"3,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,,2024,,,,,,,"4,28",,"4,28",,"2,05","2,64","13,15","3,07","184,78","17,24","16,45","18,52","2,14","94,96","3,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,,2023,,,,,,,"0,81",,"0,81",,"1,78","2,23","2,25","2,79","190,62","14,74","30,24","20,29","2,57","79,90","2,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,,2022,,,,,,,"1,02",,"1,02",,"1,37","1,65","2,45","2,41","190,81","23,29","23,07","18,66","1,57","84,90","2,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,,2021,,,,,,,"1,32",,"1,32",,"1,24","1,55","2,72","2,06","190,89","25,27","23,32","17,42","2,73","80,48","2,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,,2020,,,,,,,"1,68",,"1,68",,"0,90","1,28","2,85","1,70","190,99","33,43","21,30","16,92","3,42","80,42","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,,2019,,,,,,,"2,64",,"2,64",,"0,45","0,70","3,48","1,32","191,00","34,21","18,24","12,89","0,88","64,62","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDJU,,2018,,,,,,,"0,42",,,,,,"0,55","1,32",,,"26,56","13,94","0,70",,"1,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2yMWz_gz1Sm0A3iWNPwKhNTnLNlCotAnmDA&s,2026,Industrie,,"-8,89","49,69","26,91","22,51","0,85","16,62","2,65",,,,"39,24","14,78","385,39","15,96","4,68","0,44","6,71",,"56,48",EPA:EN,"4,43","3,00","5,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,,2025,,,,,,,,,"3,00",,"2,10","2,99","39,40","13,12","384,23","14,90","4,44","3,33","6,89","70,34","56,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,,2024,,,,,,,,,"2,86",,"2,00","2,80","38,73","13,55","376,40","10,19","4,14","3,74","8,19","71,34","56,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,,2023,,,,,,,,,"2,99",,"1,90","2,77","39,19","13,10","378,15","12,33","4,05","3,61","6,22","68,65","56,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,,2022,,,,,,,,,"3,45",,"1,80","2,60","41,66","12,07","372,24","10,99","4,39","4,35","-0,03","70,52","44,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,,2021,,,,,,,,,"2,25",,"1,80","2,95","24,16","10,76","379,72","10,69","6,31","4,50","2,18","61,04","37,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,,2020,,,,,,,,,"2,33",,"1,70","1,84","20,87","8,97","380,73","18,39","4,17","3,52","3,94","92,87","34,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,,2019,,,,,,,,,"1,96",,"1,70","3,17","19,99","10,18","379,80","11,95","7,37","4,34","4,16","53,52","37,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUYGUES,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,https://logo-marque.com/wp-content/uploads/2020/09/Michelin-Logo.png,2026,Industrie,,"-5,16","31,39","24,09","22,39","0,30",,"1,38","4,40","1,38",,"10,38","7,53","687,60",,,"8,99",,,"25,99",EPA:ML,"7,34","-0,66","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,2025,,,,,,,,,#DIV/0!,,,"2,36",,,,,,"9,10",,,"25,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,2024,,,,,,,,,"1,38",,"1,38","2,65","10,38","7,53","705,75","12,11","7,88","12,18","3,28","52,05","27,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,2023,,,,,,,,,"1,13",,"1,35","2,77","8,67","7,68","714,96","11,80","8,63","12,42","4,51","48,69","28,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,2022,,,,,,,,,"1,41",,"1,25","2,79","10,39","7,35","714,12","9,32","9,18","11,64","0,02","44,54","28,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,2021,,,,,,,,,"1,69",,"1,13","2,58","11,14","6,58","714,12","14,08","9,04","12,25","1,97","43,65","23,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,2020,,,,,,,,,"2,34",,"0,57","0,88","12,19","5,20","713,36","29,94","3,24","9,22","3,03","65,30","20,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,2019,,,,,,,,,"1,49",,"0,50","2,42","9,83","6,61","714,51","11,30","9,58","12,09","2,40","20,63","24,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4lBM65RjpI6HB13jgQCIiJ0K4nFNboiF7uQ&s,2026,Consommation discrétionnaire,,"4,85","45,21","36,80","28,22","0,23","24,57","4,41",,,,"21,14","4,79","236,13","29,86","4,78","16,34","2,49",,"5,64",EPA:AC,"5,49","9,26","3,23",,,,,,,,,Column 15,Entreprise,Colonne 1,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Dividende %,Valeur %,Per,Dette/EBITDA,ROIC,Marge opé,,,,,,,
ACCOR,,2025,,,,,,,,,"4,41",,"1,35","1,84","21,49","4,87","234,71","30,85","4,78","15,43","2,53","86,16","5,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOR,,2024,,,,,,,,,"4,38",,"1,26","2,33","19,91","4,55","243,67","20,15","7,35","13,91","1,86","53,84","5,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOR,,2023,,,,,,,,,"4,36",,"1,18","2,22","16,48","3,78","252,29","15,61","7,63","14,32","1,63","52,99","5,06",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
ACCOR,,2022,,,,,,,,,"6,42",,"0,71","1,03","16,49","2,57","263,03","16,73","4,37","10,58","1,46","50,79","4,22",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
ACCOR,,2021,,,,,,,,,"0,00",,"0,00","-2,18","17,41","0,08","261,86","148,87","-0,39","-10,30","-1,31","0,00","2,20",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
ACCOR,,2020,,,,,,,,,"-12,44",,"0,00","-4,90","18,53","-1,49","261,38",,"-26,79","-41,02","-2,15","0,00","1,62",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
ACCOR,,2019,,,,,,,,,"4,28",,"0,00","0,99","13,57","3,17","270,93","26,89","4,22","13,19","1,76","0,00","4,05",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
ACCOR,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
EDENRED,https://upload.wikimedia.org/wikipedia/commons/c/c1/Edenred_Logo_%28depuis_2017%29.png,2026,Consommation de base,,"25,75","23,28","47,40","31,71","-0,51",,"4,10","5,20","1,21",,"19,67","4,80","235,40","9,26","19,51","32,74","3,83",,"2,68",EPA:EDEN,"13,83","9,08","1,02",,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
EDENRED,,2025,,,,,,,,,"4,09",,,"2,37","18,79","4,59","235,40","8,93","19,51","31,63","3,66",,,,,,,,,,,,,,,,LVMH,https://upload.wikimedia.org/wikipedia/commons/e/e0/LVMH-black.png,2026,Luxe,,"11,18","469,80","524,40","408,54","-0,10","21,50","1,49","2,77","13,00",,"73,08","48,96","496,39","24,63","11,59","21,20"
EDENRED,,2024,,,,,,,,,"4,46",,"1,21","2,07","17,98","4,03","240,06","15,82","17,65","30,39","2,99","58,54","2,61",,,,,,,,,,,,,,FERRARI,https://logo-marque.com/wp-content/uploads/2020/05/Ferrari-Logo.png,2026,Luxe,,"12,61","298,6","268,80","221,52","0,11","33,3","1,03","1,00","2,99","8,46","16,23","15,72","177,28","34,74","28,60","29,02"
EDENRED,,2023,,,,,,,,,"5,71",,"1,10","1,61","15,88","2,78","248,96","53,63","10,53","23,50","3,69","102,59","2,31",,,,,,,,,,,,,,HERMES,https://upload.wikimedia.org/wikipedia/fr/thumb/4/43/Logo_Herm%C3%A8s.svg/1280px-Logo_Herm%C3%A8s.svg.png,2026,Luxe,,"18,45","1609,5","2052,00","1920,80","-0,22","37,6","0,29","1,62","26,00","43,07","22,22","77,95","104,84","47,83","22,60","49,45"
EDENRED,,2022,,,,,,,,,"4,05",,"1,00","1,65","11,50","2,84","249,01","34,84","18,04","30,97","2,75","64,51","1,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENRED,,2021,,,,,,,,,"5,54",,"0,90","1,39","13,25","2,39","248,54","34,09","15,94","31,33","1,02","71,23","1,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENRED,,2020,,,,,,,,,"6,08",,"0,75","1,14","13,43","2,21","245,91","47,86","15,45","29,30","5,64","76,99","1,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENRED,,2019,,,,,,,,,"4,70",,"0,70","1,39","12,18","2,59","242,07","35,83","31,84","32,17","3,12","54,02","1,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENRED,,2018,,,,,,,,,"5,15",,"0,86","1,16","10,50","2,04","237,90","30,21","51,84","31,05","2,99","80,06","1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,https://upload.wikimedia.org/wikipedia/commons/c/cf/Logo_Airbus_2014.svg,2026,Industrie,,"-10,47","173,18","92,30","110,42","0,88","33,77","1,70","1,17",,,"18,02","10,58","787,23","26,62","16,03","7,91","5,59",,,EPA:AIR,"12,05","1,54","17,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,,2025,,,,,,,,,"1,70",,,"6,89","18,02","10,58","787,23","30,05","16,03","7,13","5,59",,"134,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,,2024,,,,,,,,,"1,86",,"2,00","5,05","18,05","9,68","787,96","28,93","14,63","6,94","4,97","37,33","129,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,,2023,,,,,,,,,"2,09",,"1,80","5,60","17,21","8,24","787,42","29,13","14,72","6,52","4,25","37,47","118,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,,2022,,,,,,,,,"1,60",,"1,80","5,40","16,21","10,11","787,56","20,59","18,41","8,94","4,98","33,36","115,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,,2021,,,,,,,,,"2,10",,"1,50","4,75","19,14","9,11","785,63","20,96","19,56","9,27","3,55","27,96","113,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,,2020,,,,,,,,,"4,89",,"0,00","1,38","21,83","4,46","783,72",,"-6,53","1,33","-9,17","0,00","110,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,,2019,,,,,,,,,"2,57",,"0,00","5,81","13,06","5,08","782,31",,"-8,69","1,45","2,09","0,00","114,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRBUS,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
